

 clock  | self+sourced |   self:|  sourced script
296.439 | 000.313 | 000.313| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/man.vim
300.008 | 000.348 | 000.348| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
300.353 | 003.770 | 003.422| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/matchit.vim
300.804 | 000.332 | 000.332| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/matchparen.vim
302.116 | 001.143 | 001.143| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/netrwPlugin.vim
302.903 | 000.049 | 000.049| sourcing /Users/jordanmandel/.local/share/nvim/rplugin.vim
302.926 | 000.572 | 000.523| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/rplugin.vim
303.502 | 000.427 | 000.427| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/shada.vim
303.777 | 000.086 | 000.086| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/spellfile.vim
304.423 | 000.505 | 000.505| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/tarPlugin.vim
304.890 | 000.272 | 000.272| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/tohtml.vim
305.794 | 000.093 | 000.093| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/tutor.vim
306.508 | 000.564 | 000.564| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/plugin/zipPlugin.vim
307.787 | 014.067:|         |     loadingplugins
310.616 | 000.224 | 000.224| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/hop.nvim/plugin/hop.vim
311.250 | 000.087 | 000.087| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/lightspeed.nvim/plugin/lightspeed.vim
312.279 | 000.079 | 000.079| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nightfox.nvim/plugin/nightfox.vim
312.946 | 000.166 | 000.166| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-lspconfig/plugin/lspconfig.vim
315.253 | 001.635 | 001.635| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/plugin/nvim-treesitter.vim
316.090 | 000.072 | 000.072| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/elixir.vim
316.222 | 000.040 | 000.040| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/fennel.vim
316.350 | 000.043 | 000.043| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/fish.vim
316.528 | 000.046 | 000.046| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/gdresource.vim
316.645 | 000.035 | 000.035| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/gdscript.vim
316.758 | 000.033 | 000.033| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/glimmer.vim
316.870 | 000.033 | 000.033| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/gomod.vim
316.994 | 000.044 | 000.044| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/graphql.vim
317.121 | 000.045 | 000.045| sourcing /Users/jordanmandel/dotfiles/.config/nvim/pack/minpac/start/nvim-treesitter/ftdetect/hcl.vim
